urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
435,1,"532,499",60102022,SMAS KRISTEN REHOBOTH More..,Maluku,Kota Ambon,SMA
436,11,"532,4",10259956,SMAS PRIMEONE SCHOOL More..,Sumatera Utara,Kota Medan,SMA
437,37,"532,332",20409801,SMA BUDI MULIA DUA More..,DI Yogyakarta,Kab. Sleman,SMA
438,31,"532,291",20603328,SMAS KATOLIK MATER DEI More..,Banten,Kota Tangerang Selatan,SMA
439,1,"532,268",69955659,MAN INSAN CENDEKIA BANGKA TENGAH More..,Kepulauan Bangka Belitung,Kab. Bangka Tengah,MA 
440,4,"532,244",30401490,SMAN 2 BALIKPAPAN UTARA More..,Kalimantan Timur,Kota Balikpapan,SMA
441,80,"532,243",69816259,SMA IBNU HAJAR BOARDING SCHOOL More..,Jawa Barat,Kota Depok,SMA
442,81,"532,23",69986335,SMA IT AT TAUFIQ More..,Jawa Barat,Kota Bogor ,SMA
443,82,"532,216",20223033,SMAN 2 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
444,63,"532,174",P9908769,PKBM KAK SETO More..,Jawa Timur,Kota Surabaya ,PKBM
445,83,"532,151",20246430,SMAS ISLAM DIAN DIDAKTIKA More..,Jawa Barat,Kota Depok,SMA
446,84,"532,001",20280604,SMAS FUTURE GATE More..,Jawa Barat,Kota Bekasi,SMA
447,2,"531,934",10901104,SMAN 1 PANGKAL PINANG More..,Kepulauan Bangka Belitung,Kota Pangkalpinang,SMA
448,8,"531,789",50101121,SMAN 1 TABANAN More..,Bali,Kab. Tabanan,SMA
449,85,"531,781",20231356,SMAS SMART EKSELENSIA INDONESIA More..,Jawa Barat,Kab. Bogor,SMA
450,77,"531,759",20321907,SMAN 1 KENDAL More..,Jawa Tengah,Kab. Kendal,SMA
451,86,"531,557",20223046,SMAN 3 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
452,64,"531,548",20502726,SMAN 1 PURI More..,Jawa Timur,Kab. Mojokerto,SMA
453,3,"531,468",10900459,SMAN 1 TANJUNG PANDAN More..,Kepulauan Bangka Belitung,Kab. Belitung,SMA
454,78,"531,409",20313845,SMAN 1 PURWODADI More..,Jawa Tengah,Kab. Grobogan,SMA
455,65,"531,385",20532232,SMAN 21 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
456,3,"531,144",69952949,SMA LENTERA HARAPAN TOMOHON More..,Sulawesi Utara,Kota Tomohon ,SMA
457,79,"531,143",69949652,SMA Muhammadiyah Program Khusus Kottabarat Surakarta More..,Jawa Tengah,Kota Surakarta,SMA
458,74,"531,135",20103311,SMAN 53 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
459,12,"531,098",10210903,SMAS METHODIST 2 MEDAN More..,Sumatera Utara,Kota Medan,SMA
460,38,"531,043",20402128,SMKN 1 WONOSARI More..,DI Yogyakarta,Kab. Gunung Kidul,SMK
461,66,"531,018",20533641,SMAN 9 Malang More..,Jawa Timur,Kota Malang,SMA
462,32,"530,947",20603361,SMAN 3 KABUPATEN TANGERANG More..,Banten,Kab. Tangerang,SMA
463,87,"530,943",20216938,SMAN 1 SUBANG More..,Jawa Barat,Kab. Subang,SMA
464,67,"530,895",20523807,SMAS ST PAULUS More..,Jawa Timur,Kab. Jember,SMA
