data_key,urut_nasional,npsn,sekolah,provinsi,rerata,tertinggi,terendah,std_deviasi,jenis
2084,84,20219279,SMAS TRINITAS BANDUNG More..,Jawa Barat,"565,798","619,14","477,695","32,09",SMA
2085,85,20327563,SMAN 1 MAGELANG More..,Jawa Tengah,"565,676","648,583","452,288","37,13",SMA
2086,86,20532135,SMAS KRISTEN PETRA 1 More..,Jawa Timur,"565,585","640,248","472,598","43,15",SMA
2087,87,20103284,SMAN 14 JAKARTA More..,DKI Jakarta,"565,317","662,005","456,63","37,13",SMA
2088,88,20100799,SMAS SANTO YAKOBUS JAKARTA More..,DKI Jakarta,"565,228","639,67","482,018","38,44",SMA
2089,89,20101589,SMAN 65 JAKARTA More..,DKI Jakarta,"564,86","653,158","476,03","31,91",SMA
2090,90,20220343,SMAS REGINA PACIS More..,Jawa Barat,"564,821","650,878","469,378","36,85",SMA
2091,91,20102193,SMAN 47 JAKARTA More..,DKI Jakarta,"564,735","651,615","468,433","41,45",SMA
2092,92,20402126,SMAN 1 WONOSARI More..,DI Yogyakarta,"564,457","664,065","478,393","33,05",SMA
2093,93,20328867,SMA NEGERI 01 More..,Jawa Tengah,"564,32","644,303","463,573","36,86",SMA
2094,94,20328447,SMAN 1 SALATIGA More..,Jawa Tengah,"563,852","654,025","461,338","35,37",SMA
2095,95,20252198,SMA TALENTA More..,Jawa Barat,"563,837","640,425","498,82","35,89",SMA
2096,96,20532237,SMAN 15 SURABAYA More..,Jawa Timur,"563,729","640,09","445,338","35,12",SMA
2097,97,20103283,SMAN 21 JAKARTA More..,DKI Jakarta,"563,109","652,515","468,29","35,3",SMA
2098,98,20102570,SMAN 70 JAKARTA More..,DKI Jakarta,"563,087","651,76","432,643","36,07",SMA
2099,99,20613524,SMAS TARAKANITA GADING SERPONG More..,Banten,"563,002","663,053","451,093","46,72",SMA
2100,100,20321438,SMA NEGERI 1 TEMANGGUNG More..,Jawa Tengah,"562,953","645,935","431,17","33,91",SMA
