data_key,detail,urut_nasional,urut_provinsi,rerata,nilai_tertinggi,nilai_terendah,standar_deviasi
2041,Pengetahuan dan Pemahaman Umum,73,5,558.029,704.44,360.68,68.65
2042,Kemampuan Kuantitatif,39,4,603.761,709.94,379.33,68.16
2042,Kemampuan Memahami Bacaan dan Menulis,53,6,570.66,663.66,408.03,51.86
2042,Kemampuan Penalaran Umum,48,6,559.738,659.63,456.36,38.54
2042,Pengetahuan dan Pemahaman Umum,38,4,563.948,680.08,388.13,62.46
2043,Kemampuan Kuantitatif,48,19,601.575,722.86,441.28,60.97
2043,Kemampuan Memahami Bacaan dan Menulis,70,18,566.622,688.39,353.48,55.9
2043,Kemampuan Penalaran Umum,37,16,561.239,652.79,445.88,34.0
2043,Pengetahuan dan Pemahaman Umum,23,11,568.609,716.49,368.97,67.79
2044,Kemampuan Kuantitatif,55,24,597.291,709.96,383.44,64.67
2044,Kemampuan Memahami Bacaan dan Menulis,50,13,571.652,715.56,365.4,59.28
2044,Kemampuan Penalaran Umum,53,19,558.074,634.15,430.31,35.79
2044,Pengetahuan dan Pemahaman Umum,24,12,568.543,676.78,358.56,63.2
2045,Kemampuan Kuantitatif,29,1,608.227,721.82,453.42,59.66
2045,Kemampuan Memahami Bacaan dan Menulis,44,5,572.854,684.04,428.69,47.73
2045,Kemampuan Penalaran Umum,105,11,550.573,612.18,453.94,38.97
2045,Pengetahuan dan Pemahaman Umum,42,3,563.399,659.98,393.8,57.84
2046,Kemampuan Kuantitatif,35,14,604.972,713.75,376.11,66.9
2046,Kemampuan Memahami Bacaan dan Menulis,88,22,564.247,698.64,361.76,70.6
2046,Kemampuan Penalaran Umum,58,21,557.118,642.48,438.14,38.07
2046,Pengetahuan dan Pemahaman Umum,32,14,564.779,673.93,374.87,65.37
2047,Kemampuan Kuantitatif,58,6,596.686,712.78,414.9,59.61
2047,Kemampuan Memahami Bacaan dan Menulis,28,7,578.642,693.94,450.16,45.48
2047,Kemampuan Penalaran Umum,41,5,560.555,655.83,442.97,35.18
2047,Pengetahuan dan Pemahaman Umum,85,7,555.105,698.96,337.93,68.15
2048,Kemampuan Kuantitatif,43,17,602.27,739.09,442.11,66.11
2048,Kemampuan Memahami Bacaan dan Menulis,52,14,570.692,648.11,477.55,45.86
2048,Kemampuan Penalaran Umum,21,9,567.162,625.99,491.72,38.1
2048,Pengetahuan dan Pemahaman Umum,128,36,550.21,671.24,420.17,72.52
2049,Kemampuan Kuantitatif,38,5,604.215,719.58,385.23,66.99
2049,Kemampuan Memahami Bacaan dan Menulis,35,4,576.589,712.98,375.84,52.0
2049,Kemampuan Penalaran Umum,52,8,558.118,644.21,422.91,40.47
2049,Pengetahuan dan Pemahaman Umum,120,19,550.8,718.36,349.17,74.34
2050,Kemampuan Kuantitatif,53,22,598.885,701.34,387.2,62.34
2050,Kemampuan Memahami Bacaan dan Menulis,89,23,563.998,642.09,427.49,51.78
2050,Kemampuan Penalaran Umum,34,15,562.565,597.3,489.2,24.32
2050,Pengetahuan dan Pemahaman Umum,36,17,564.17,642.98,364.79,58.71
2051,Kemampuan Kuantitatif,73,8,592.515,715.17,438.9,61.07
2051,Kemampuan Memahami Bacaan dan Menulis,26,6,579.099,717.43,445.5,44.64
2051,Kemampuan Penalaran Umum,45,6,560.081,645.4,461.04,32.91
2051,Pengetahuan dan Pemahaman Umum,77,6,556.433,681.02,360.4,61.67
2052,Kemampuan Kuantitatif,57,6,596.952,732.18,430.74,58.41
2052,Kemampuan Memahami Bacaan dan Menulis,61,7,568.879,714.38,415.78,51.22
2052,Kemampuan Penalaran Umum,46,5,559.86,645.15,427.62,37.99
2052,Pengetahuan dan Pemahaman Umum,67,11,558.984,691.83,362.97,58.73
2053,Kemampuan Kuantitatif,80,10,590.774,706.4,402.58,70.26
2053,Kemampuan Memahami Bacaan dan Menulis,56,11,569.975,684.78,429.58,52.73
2053,Kemampuan Penalaran Umum,42,5,560.459,640.29,470.76,37.27
2053,Pengetahuan dan Pemahaman Umum,44,6,563.196,658.86,373.53,62.02
2054,Kemampuan Kuantitatif,56,25,597.176,704.24,403.39,58.94
2054,Kemampuan Memahami Bacaan dan Menulis,71,19,566.562,707.58,370.81,61.25
2054,Kemampuan Penalaran Umum,59,22,556.541,625.85,458.72,35.53
2054,Pengetahuan dan Pemahaman Umum,39,19,563.939,676.62,351.62,62.65
2055,Kemampuan Kuantitatif,40,16,603.563,708.76,377.86,65.11
2055,Kemampuan Memahami Bacaan dan Menulis,72,20,566.461,687.96,361.19,62.97
2055,Kemampuan Penalaran Umum,61,23,555.804,633.53,458.67,34.87
2055,Pengetahuan dan Pemahaman Umum,76,27,556.747,666.94,380.17,62.17
2056,Kemampuan Kuantitatif,24,2,613.832,722.02,394.63,61.92
2056,Kemampuan Memahami Bacaan dan Menulis,118,2,560.912,705.56,383.11,55.06
2056,Kemampuan Penalaran Umum,79,2,553.297,658.38,440.36,40.06
2056,Pengetahuan dan Pemahaman Umum,102,2,553.316,690.4,367.86,64.47
2057,Kemampuan Kuantitatif,157,22,574.007,694.39,405.43,70.76
2057,Kemampuan Memahami Bacaan dan Menulis,48,9,571.953,688.67,394.17,63.5
2057,Kemampuan Penalaran Umum,26,2,565.115,648.13,441.83,39.64
2057,Pengetahuan dan Pemahaman Umum,27,3,567.197,662.14,388.7,59.26
2058,Kemampuan Kuantitatif,87,9,589.464,708.68,395.63,62.3
2058,Kemampuan Memahami Bacaan dan Menulis,42,5,573.233,688.05,360.83,50.88
2058,Kemampuan Penalaran Umum,68,11,555.145,648.12,438.34,38.48
2058,Pengetahuan dan Pemahaman Umum,63,10,559.723,748.07,369.22,68.03
2059,Kemampuan Kuantitatif,71,1,593.342,681.51,432.28,78.14
2059,Kemampuan Memahami Bacaan dan Menulis,141,1,558.378,631.94,404.85,58.44
2059,Kemampuan Penalaran Umum,65,1,555.541,616.49,480.74,37.82
2059,Pengetahuan dan Pemahaman Umum,21,1,569.829,629.49,381.04,55.63
2060,Kemampuan Kuantitatif,69,27,594.618,714.65,421.29,64.64
2060,Kemampuan Memahami Bacaan dan Menulis,106,29,562.057,684.55,397.64,61.85
2060,Kemampuan Penalaran Umum,54,20,557.804,630.81,474.55,34.47
2060,Pengetahuan dan Pemahaman Umum,51,21,562.255,697.17,341.92,62.88
2061,Kemampuan Kuantitatif,93,11,587.425,715.22,406.49,69.72
2061,Kemampuan Memahami Bacaan dan Menulis,64,8,568.045,687.38,360.68,51.59
2061,Kemampuan Penalaran Umum,56,8,557.282,639.6,430.99,41.49
2061,Pengetahuan dan Pemahaman Umum,41,5,563.711,690.28,354.66,60.11
2062,Kemampuan Kuantitatif,68,8,594.691,707.16,374.35,60.37
2062,Kemampuan Memahami Bacaan dan Menulis,86,11,564.265,710.47,315.95,58.83
2062,Kemampuan Penalaran Umum,64,9,555.682,628.15,440.7,36.04
2062,Pengetahuan dan Pemahaman Umum,57,6,561.351,674.83,370.41,55.83
2063,Kemampuan Kuantitatif,120,11,580.723,665.01,397.82,65.41
2063,Kemampuan Memahami Bacaan dan Menulis,9,2,587.324,699.65,413.73,50.83
2063,Kemampuan Penalaran Umum,98,12,551.478,612.31,475.87,36.57
2063,Pengetahuan dan Pemahaman Umum,79,10,556.268,685.58,386.78,67.64
2064,Kemampuan Kuantitatif,67,7,595.019,721.82,422.27,57.38
2064,Kemampuan Memahami Bacaan dan Menulis,57,9,569.498,695.27,433.83,49.12
2064,Kemampuan Penalaran Umum,60,8,556.356,637.31,448.4,35.2
2064,Pengetahuan dan Pemahaman Umum,92,9,554.458,667.19,375.95,60.65
2065,Kemampuan Kuantitatif,20,9,616.461,689.75,447.77,61.88
2065,Kemampuan Memahami Bacaan dan Menulis,223,48,549.567,642.47,360.58,65.82
2065,Kemampuan Penalaran Umum,30,13,563.949,608.86,495.59,27.14
2065,Pengetahuan dan Pemahaman Umum,178,46,545.155,642.92,402.82,63.52
